# Copyright (C) 2017  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel MegaCore Function License Agreement, or other 
# applicable license agreement, including, without limitation, 
# that your use is for the sole purpose of programming logic 
# devices manufactured by Intel and sold by Intel or its 
# authorized distributors.  Please refer to the applicable 
# agreement for further details.

# Quartus Prime Version 17.0.0 Build 595 04/25/2017 SJ Lite Edition
# File: D:\trigger\DE0_CV_Default.csv
# Generated on: Sat Jun 03 12:08:27 2017

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage,Strict Preservation
CLOCK2_50,Input,PIN_H13,7A,B7A_N0,PIN_H13,3.3-V LVTTL,,,,,,,,,,,,,
CLOCK3_50,Input,PIN_E10,8A,B8A_N0,PIN_E10,3.3-V LVTTL,,,,,,,,,,,,,
CLOCK4_50,Bidir,PIN_V15,4A,B4A_N0,PIN_V15,3.3-V LVTTL,,,,,,,,,,,,,
CLOCK_50,Input,PIN_M9,3B,B3B_N0,PIN_M9,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_ADDR[12],Output,PIN_R7,3A,B3A_N0,PIN_R7,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_ADDR[11],Output,PIN_P6,3A,B3A_N0,PIN_P6,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_ADDR[10],Output,PIN_U8,3A,B3A_N0,PIN_U8,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_ADDR[9],Output,PIN_R5,3A,B3A_N0,PIN_R5,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_ADDR[8],Output,PIN_P8,3B,B3B_N0,PIN_P8,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_ADDR[7],Output,PIN_P7,3A,B3A_N0,PIN_P7,3.3-V LVTTL,,,,,,,,,,,,,
